병원이름,병원종류,전화번호,병원주소,월,화,수,목,금,토,일,영업시간,쉬는시간,접수마감
월드치과의원,치과,051-315-2355,부산 사상구 학감대로 116 월드빌딩,"10:00 - 18:30
13:00 - 14:00 휴게시간",,"10:00 - 18:30
13:00 - 14:00 휴게시간","10:00 - 18:30
13:00 - 14:00 휴게시간","10:00 - 18:30
13:00 - 14:00 휴게시간",10:00 - 13:00,정기휴무 (매주 일요일),,,
북부의원,"병원,의원",051-303-2250,부산 사상구 사상로367번길 35,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,"09:00 - 18:00
접기",09:00 - 18:00,09:00 - 13:00,정보없음,09:00 - 18:00,,
화목한의원,한의원,051-311-3135,부산 사상구 백양대로 905 세브란스소아과의원,"09:00 - 20:00
12:30 - 14:00 휴게시간",,"09:00 - 19:00
12:30 - 14:00 휴게시간","09:00 - 20:00
12:30 - 14:00 휴게시간","09:00 - 19:00
12:30 - 14:00 휴게시간",09:00 - 14:00,정기휴무 (매주 일요일),,,
편한의원,가정의학과,No phone number available,부산 사상구 덕상로 7,,,,,,,,,,
좋은삼선병원 스포츠운동치료센터,병원부속시설,051-310-9535,부산 사상구 가야대로 326,"09:00 - 18:00
12:30 - 13:30 휴게시간","09:00 - 17:00
12:30 - 13:30 휴게시간","09:00 - 17:00
12:30 - 13:30 휴게시간","09:00 - 17:00
12:30 - 13:30 휴게시간
접기","09:00 - 17:00
12:30 - 13:30 휴게시간",09:00 - 13:00,정보없음,09:00 - 17:00,12:30 - 13:30 ,
이재화치과의원,치과,No phone number available,부산 사상구 대동로 94,,,,,,,,,,
동인요양병원 원무과,요양병원,051-329-9008,부산 사상구 엄궁동 569-1,,,,,,,,,,
부영치과의원,치과,051-320-6875,부산 사상구 학감대로123번길 76 부영병원,09:30 - 17:30,,09:30 - 12:00,09:30 - 17:30,정기휴무 (매주 금요일),09:30 - 12:00,정기휴무 (매주 일요일),,,
무림한의원,한의원,051-313-7575,부산 사상구 학감대로 105 명진빌딩,"10:00 - 18:00
12:00 - 13:30 휴게시간","10:00 - 18:00
12:00 - 13:30 휴게시간","10:00 - 18:00
12:00 - 13:30 휴게시간","10:00 - 18:00
12:00 - 13:30 휴게시간","10:00 - 18:00
12:00 - 13:30 휴게시간",정보없음,정보없음,10:00 - 18:00,12:00 - 13:30 ,
박찬석치과의원,치과,051-323-6596,부산 사상구 엄궁북로 2,"10:00 - 18:00
13:00 - 14:30 휴게시간",,"10:00 - 18:00
13:00 - 14:30 휴게시간","10:00 - 18:00
13:00 - 14:30 휴게시간","10:00 - 18:00
13:00 - 14:30 휴게시간",10:00 - 12:30,정기휴무 (매주 일요일),,,
용운선원요양병원,요양병원,No phone number available,부산 사상구 덕상로 116-38,,,,,,,,,,
새한빛병원,"병원,의원",No phone number available,부산 사상구 가야대로 256,,,,,,,,,,
좋은부산요양병원별관,병원부속시설,No phone number available,부산 사상구 학감대로39번길 67 좋은부산요양병원,,,,,,,,,,
부산보훈병원재활체육관,병원부속시설,No phone number available,부산 사상구 백양대로 420,,,,,,,,,,
연세시병원,"병원,의원",No phone number available,부산 사상구 사상로 174,,,,,,,,,,
현백요양병원,요양병원,No phone number available,부산 사상구 사상로 280,,,,,,,,,,
엄궁유일병원,"병원,의원",No phone number available,부산 사상구 낙동대로 792,,,,,,,,,,
부산보훈병원 선별진료소,선별진료소,051-601-6000,부산 사상구 백양대로 420,08:30 - 17:30,,08:30 - 17:30,08:30 - 17:30,08:30 - 17:30,정기휴무 (매주 토요일),정기휴무 (매주 일요일),,,
정선한의원,한의원,051-304-3819,부산 사상구 모라로110번길 85 모라영구임대아파트,10:30 - 18:00,,10:30 - 18:00,10:30 - 18:00,정기휴무 (매주 금요일),정기휴무 (매주 토요일),정기휴무 (매주 일요일),,,
부산보훈병원동관동,병원부속시설,No phone number available,부산 사상구 백양대로 420,,,,,,,,,,
다남한의원,한의원,051-305-1074,부산 사상구 사상로 289-4,,,,,,,,,,
부산보훈병원별관동,병원부속시설,No phone number available,부산 사상구 백양대로 420,,,,,,,,,,
좋은삼선병원 선별진료소,선별진료소,051-310-9205,부산 사상구 가야대로 326,09:00 - 16:00,,09:00 - 16:00,09:00 - 16:00,09:00 - 16:00,09:00 - 12:00,정기휴무 (매주 일요일),,,
모라중앙치과의원,치과,No phone number available,부산 사상구 백양대로 884 우신모라아파트,"09:30 - 18:30
12:30 - 14:00 휴게시간",,"09:30 - 18:30
12:30 - 14:00 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간",09:30 - 12:30,정기휴무 (매주 일요일),,,
부산보훈병원본관동,병원부속시설,No phone number available,부산 사상구 백양대로 420,,,,,,,,,,
좋은삼선병원 인공신장센터,병원부속시설,No phone number available,부산 사상구 가야대로 326 좋은삼선병원,,,,,,,,,,
미래여성병원,산부인과,051-890-9999,부산 부산진구 가야대로 459 미래여성병원,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 17:00
13:00 - 14:00 휴게시간","09:00 - 17:00
13:00 - 14:00 휴게시간","09:00 - 17:00
13:00 - 14:00 휴게시간","09:00 - 17:00
13:00 - 14:00 휴게시간",09:05 - 13:00,10:00 - 13:00,09:00 - 17:00,13:00 - 14:00 ,
삼육부산병원,종합병원,1566-3675,부산 서구 대티로 170,"08:30 - 17:30
12:30 - 13:30 휴게시간",,"08:30 - 17:30
12:30 - 13:30 휴게시간","08:30 - 17:30
12:30 - 13:30 휴게시간",08:30 - 12:30,정기휴무 (매주 토요일),"08:30 - 17:30
12:30 - 13:30 휴게시간",,,
열린이비인후과의원,이비인후과,051-334-8899,부산 북구 백양대로 1202 4층 열린이비인후과,"09:00 - 18:30
13:00 - 14:00 휴게시간",,"09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
미래로병원,산부인과,051-330-5000,부산 북구 금곡대로 15,,,,,,,,,,
선내과의원,내과,051-898-2233,부산 부산진구 냉정로 215,"08:30 - 18:00
13:00 - 14:00 휴게시간",,"08:30 - 18:00
13:00 - 14:00 휴게시간","08:30 - 18:00
13:00 - 14:00 휴게시간","08:30 - 18:00
13:00 - 14:00 휴게시간",08:30 - 12:00,정기휴무 (매주 일요일),,,
미래연합소아청소년과의원,소아청소년과,051-890-7520,"부산 부산진구 가야대로 460 2,6,7,8층","09:00 - 20:00
12:30 - 14:00 휴게시간
17:30 - 18:00 휴게시간",,"09:00 - 20:00
12:30 - 14:00 휴게시간
17:30 - 18:00 휴게시간","09:00 - 20:00
12:30 - 14:00 휴게시간
17:30 - 18:00 휴게시간
접기","09:00 - 20:00
12:30 - 14:00 휴게시간
17:30 - 18:00 휴게시간",09:00 - 13:00,09:00 - 13:00,,,
큐병원,"병원,의원",051-207-4343,부산 사하구 낙동남로 1401,,,,,,,,,,
올리브피부과의원,피부과,0507-1406-3344,부산 북구 만덕대로27번길 3 세빈빌딩 6층,"09:30 - 19:00
13:00 - 14:00 휴게시간",,"09:30 - 19:00
13:00 - 14:00 휴게시간","09:30 - 19:00
13:00 - 14:00 휴게시간","09:30 - 19:00
13:00 - 14:00 휴게시간",09:30 - 14:30,정기휴무 (매주 일요일),,,
피브엔의원,피부과,051-892-0005,부산 부산진구 가야대로 494 대도빌딩 5층,"10:00 - 19:30
13:00 - 14:00 휴게시간",,"10:00 - 19:30
13:00 - 14:00 휴게시간","10:00 - 19:30
13:00 - 14:00 휴게시간","10:00 - 19:30
13:00 - 14:00 휴게시간",09:00 - 15:00,정기휴무 (매주 일요일),,,
인제대학교부산백병원,종합병원,051-890-6114,부산 부산진구 복지로 75,"08:00 - 17:00
12:00 - 13:30 휴게시간","08:00 - 17:00
12:00 - 13:30 휴게시간","08:00 - 17:00
12:00 - 13:30 휴게시간","08:00 - 17:00
12:00 - 13:30 휴게시간","08:00 - 17:00
12:00 - 13:30 휴게시간",08:00 - 12:00,정기휴무 (매주 일요일),08:00 - 17:00,12:00 - 13:30 ,
윤종주정형외과 조현정내과의원,정형외과,051-714-7105,부산 사하구 낙동남로 1417 락희빌딩 3층(내과) 4층(정형외과),,,,,,,,,,
