병원이름,병원종류,전화번호,병원주소,월,화,수,목,금,토,일,영업시간,쉬는시간,접수마감
성내과의원,내과,051-529-7585,부산 동래구 명장로 142,09:00 - 18:30,,09:00 - 18:30,09:00 - 13:00,09:00 - 18:30,09:00 - 13:00,정기휴무 (매주 일요일),,,
최환준내과의원,내과,051-504-1380,부산 동래구 아시아드대로 225 미남메디칼센터,"09:00 - 18:30
12:30 - 14:00 휴게시간",,"09:00 - 18:30
12:30 - 14:00 휴게시간",14:00 - 18:30,"09:00 - 18:30
12:30 - 14:00 휴게시간",09:00 - 12:30,정기휴무 (매주 일요일),,,
동래장천한의원,한의원,051-552-2501,부산 동래구 온천천로 77 1층,"09:30 - 18:30
12:30 - 13:30 휴게시간
18:00 접수마감",,"09:30 - 18:30
12:30 - 13:30 휴게시간
18:00 접수마감","09:30 - 13:30
13:00 접수마감","09:30 - 18:30
12:30 - 13:30 휴게시간
18:00 접수마감","09:30 - 13:30
13:00 접수마감",정기휴무 (매주 일요일),,,
황을지정신건강의학과의원,정신건강의학과,051-557-8575,부산 동래구 충렬대로 157,"09:00 - 17:00
13:00 - 14:00 휴게시간",,09:00 - 13:00,"09:00 - 17:00
13:00 - 14:00 휴게시간","09:00 - 17:00
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
기운찬한방병원,한방병원,051-501-5551,"부산 동래구 충렬대로 152 5층, 6층","09:00 - 21:00
13:00 - 14:00 휴게시간",,"09:00 - 21:00
13:00 - 14:00 휴게시간","09:00 - 21:00
13:00 - 14:00 휴게시간","09:00 - 21:00
13:00 - 14:00 휴게시간",09:00 - 17:00,09:00 - 17:00,,,
이센스치과의원,치과,0507-1428-2832,부산 동래구 충렬대로 252 동래e메디컬센터 4층,"09:30 - 18:30
13:00 - 14:00 휴게시간
17:30 접수마감",,"14:00 - 21:00
20:00 접수마감","09:30 - 18:30
13:00 - 14:00 휴게시간
17:30 접수마감","09:30 - 18:30
13:00 - 14:00 휴게시간
17:30 접수마감","09:30 - 15:00
14:00 접수마감",정기휴무 (매주 일요일),,,
동래요양병원,요양병원,051-557-7011,부산 동래구 명륜로 147 동래타워,,,,,,,,,,
박이훈치과의원,치과,051-503-2875,부산 동래구 사직북로 4 사직동 자이언츠 파크,"09:30 - 18:30
13:00 - 14:30 휴게시간",,"09:30 - 18:30
13:00 - 14:30 휴게시간","09:30 - 18:30
13:00 - 14:30 휴게시간","09:30 - 18:30
13:00 - 14:30 휴게시간",09:30 - 14:00,정기휴무 (매주 일요일),,,
이플러스치과의원,치과,0507-1313-7528,부산 동래구 차밭골로 13 4층,"09:30 - 19:00
12:30 - 14:00 휴게시간",,"09:30 - 21:00
12:30 - 14:00 휴게시간","09:30 - 19:00
12:30 - 14:00 휴게시간","09:30 - 19:00
12:30 - 14:00 휴게시간",09:30 - 14:00,정기휴무 (매주 일요일),,,
동래한의원,한의원,051-927-1275,부산 동래구 충렬대로 157-1 2층,"09:30 - 19:30
13:00 - 14:00 휴게시간",,"09:30 - 19:30
13:00 - 14:00 휴게시간","09:30 - 19:30
13:00 - 14:00 휴게시간","09:30 - 19:30
13:00 - 14:00 휴게시간",09:00 - 14:00,정기휴무 (매주 일요일),,,
예미안치과의원,치과,0507-1480-2278,부산 동래구 명륜로 188 파리바게트 2층,"09:30 - 18:30
12:30 - 14:00 휴게시간
18:00 접수마감",,"09:30 - 18:30
12:30 - 14:00 휴게시간
18:00 접수마감","14:00 - 20:30
20:00 접수마감","09:30 - 18:30
12:30 - 14:00 휴게시간
18:00 접수마감","09:30 - 13:30
13:00 접수마감",정기휴무 (매주 일요일),,,
우리미치과의원,치과,051-558-2875,부산 동래구 충렬대로 248 인촌빌딩 3층,"09:30 - 18:00
12:30 - 13:30 휴게시간","09:30 - 19:30
12:30 - 13:30 휴게시간","09:30 - 18:00
12:30 - 13:30 휴게시간","정기휴무 (매주 목요일)
접기","09:30 - 19:00
12:30 - 13:30 휴게시간",09:30 - 13:00,정보없음,09:30 - 19:30,12:30 - 13:30 ,
한나라한의원,한의원,051-515-7070,부산 동래구 아시아드대로 183,"09:30 - 18:00
13:00 - 14:00 휴게시간
17:00 접수마감","09:30 - 18:00
13:00 - 14:00 휴게시간
17:00 접수마감","09:30 - 18:00
13:00 - 14:00 휴게시간
17:00 접수마감",정기휴무 (매주 목요일),"09:30 - 18:00
13:00 - 14:00 휴게시간
17:00 접수마감","09:30 - 16:00
13:00 - 14:00 휴게시간
15:00 접수마감","09:30 - 12:00
11:00 접수마감",09:30 - 18:00,13:00 - 14:00 ,17:00
운곡한의원,한의원,051-555-3723,부산 동래구 동래로 17,정기휴무 (매주 월요일),,"09:30 - 16:00
12:30 - 14:00 휴게시간",14:00 - 18:00,"09:30 - 16:00
12:30 - 14:00 휴게시간",08:30 - 13:00,정기휴무 (매주 일요일),,,
굿모닝가정의학과의원,가정의학과,051-526-7555,부산 동래구 명장로 50 2층,"09:00 - 18:30
12:30 - 14:00 휴게시간
18:15 접수마감",,"09:00 - 18:30
12:30 - 14:00 휴게시간
18:15 접수마감","09:00 - 18:30
12:30 - 14:00 휴게시간
18:15 접수마감","09:00 - 18:30
12:30 - 14:00 휴게시간
18:15 접수마감","09:00 - 13:00
12:45 접수마감",정기휴무 (매주 일요일),,,
참사랑요양병원,요양병원,No phone number available,부산 동래구 충렬대로 258 이도빌딩,,,,,,,,,,
미소를만드는치과 교정과 치과의원,치과,051-552-7528,부산 동래구 충렬대로 194 동림빌딩 5층,"10:30 - 19:00
13:00 - 14:30 휴게시간",,"10:30 - 19:00
13:00 - 14:30 휴게시간",정기휴무 (매주 목요일),"10:30 - 19:00
13:00 - 14:30 휴게시간",09:30 - 14:00,정기휴무 (매주 일요일),,,
진심을 담은 치과교정과 치과의원,치과,0507-1438-8575,부산 동래구 우장춘로 7 601호,"10:00 - 18:30
12:30 - 14:00 휴게시간
18:00 접수마감",,"10:00 - 18:30
12:30 - 14:00 휴게시간
18:00 접수마감","14:00 - 20:00
17:30 - 18:00 휴게시간
19:30 접수마감
접기","10:00 - 18:30
12:30 - 14:00 휴게시간
18:00 접수마감","09:00 - 13:00
12:30 접수마감",정기휴무 (매주 일요일),,,
동래봉생병원장례식장,장례식장,051-531-7100,부산 동래구 안연로109번길 26,,,,,,,,,,
손명집창문외과의원,외과,051-558-8880,부산 동래구 중앙대로 1325,"09:00 - 18:00
13:00 - 14:00 휴게시간",,"09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 13:00,"09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
한마음연합의원,내과,051-527-2017,부산 동래구 안락로 12 LG 25,09:00 - 18:00,,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,09:00 - 13:00,정기휴무 (매주 일요일),,,
의료법인 강혜의료재단 온천사랑의요양병원,요양병원,051-500-9000,부산 동래구 금강공원로 40,"09:00 - 17:00
12:00 - 13:00 휴게시간","09:00 - 17:00
12:00 - 13:00 휴게시간","09:00 - 17:00
12:00 - 13:00 휴게시간","09:00 - 17:00
12:00 - 13:00 휴게시간
접기","09:00 - 17:00
12:00 - 13:00 휴게시간",09:00 - 12:00,정보없음,09:00 - 17:00,12:00 - 13:00 ,
e플랜트치과의원 부산점,치과,051-559-5882,부산 동래구 중앙대로 1523 SK HUB SKY,"10:00 - 18:30
13:00 - 14:30 휴게시간",,"10:00 - 18:30
13:00 - 14:30 휴게시간",14:30 - 20:00,"10:00 - 18:30
13:00 - 14:30 휴게시간",09:15 - 13:00,정기휴무 (매주 일요일),,,
플란트치과의원,치과,051-503-2000,부산 동래구 동래로 25 이즈메디컬 5F,"09:30 - 18:30
13:00 - 14:00 휴게시간",,"09:30 - 18:30
13:00 - 14:00 휴게시간",정기휴무 (매주 목요일),"09:30 - 20:00
13:00 - 14:00 휴게시간",09:30 - 13:30,정기휴무 (매주 일요일),,,
금정치과의원,치과,051-532-2800,부산 동래구 여고북로 167,"09:30 - 19:00
13:00 - 14:30 휴게시간",,"09:30 - 19:00
13:00 - 14:30 휴게시간","09:30 - 19:00
13:00 - 14:30 휴게시간","09:30 - 19:00
13:00 - 14:30 휴게시간",09:30 - 14:00,정기휴무 (매주 일요일),,,
영천배골한의원,한의원,051-553-1075,부산 동래구 중앙대로1367번길 56-23,"09:30 - 18:30
18:00 접수마감",,"09:30 - 18:30
18:00 접수마감","09:30 - 18:30
18:00 접수마감","09:30 - 18:30
18:00 접수마감","09:30 - 13:00
12:30 접수마감",정기휴무 (매주 일요일),,,
대통한의원,한의원,051-525-1075,부산 동래구 안남로 23 보림프라자 306호,,,,,,,,,,
수려한의원,한의원,051-507-1236,부산 동래구 사직북로 18 대성빌딩 2층,"09:30 - 18:30
12:30 - 14:00 휴게시간
18:15 접수마감",,"09:30 - 18:30
12:30 - 14:00 휴게시간
18:15 접수마감","09:30 - 17:00
12:30 - 14:00 휴게시간
16:45 접수마감","09:30 - 18:30
12:30 - 14:00 휴게시간
18:15 접수마감","09:30 - 15:00
14:45 접수마감",정기휴무 (매주 일요일),,,
시선한의원,한의원,1800-6736,부산 동래구 충렬대로238번길 7 성완세띠앙Bldg 7층,"10:00 - 19:00
13:00 - 14:00 휴게시간
18:30 접수마감",,"14:00 - 19:00
18:30 접수마감","10:00 - 19:00
13:00 - 14:00 휴게시간
18:30 접수마감","10:00 - 19:00
13:00 - 14:00 휴게시간
18:30 접수마감",정기휴무 (매주 토요일),정기휴무 (매주 일요일),,,
동래주니어치과의원,치과,051-714-2878,부산 동래구 충렬대로 384,"09:30 - 18:30
13:00 - 14:00 휴게시간",,"09:30 - 18:30
13:00 - 14:00 휴게시간","09:30 - 18:30
13:00 - 14:00 휴게시간","09:30 - 18:30
13:00 - 14:00 휴게시간",09:30 - 14:00,정기휴무 (매주 일요일),,,
위튼한의원 동래점,한의원,051-531-3320,부산 동래구 중앙대로 1319 3층,"09:30 - 19:00
12:30 - 14:00 휴게시간",,정기휴무 (매주 수요일),"09:30 - 21:00
12:30 - 14:00 휴게시간","09:30 - 19:00
12:30 - 14:00 휴게시간",09:30 - 13:00,정기휴무 (매주 일요일),,,
청림한의원,한의원,051-507-0075,부산 동래구 아시아드대로 223 B동 2층 청림한의원,"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간
접기","09:00 - 18:30
12:30 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),09:00 - 18:30,12:30 - 14:00 ,
동래아트치과의원,치과,051-710-2879,부산 동래구 충렬대로 160 5층,09:30 - 20:30,,09:30 - 20:30,09:30 - 18:30,09:30 - 18:30,09:30 - 14:00,정기휴무 (매주 일요일),,,
성심의원,외과,051-505-2117,부산 동래구 여고로113번길 35,"09:00 - 18:30
13:00 - 14:00 휴게시간",,"09:00 - 18:30
13:00 - 14:00 휴게시간","14:00 - 18:30
접기","09:00 - 18:30
13:00 - 14:00 휴게시간",09:00 - 16:00,정기휴무 (매주 일요일),,,
의료법인동영의료재단상록병원,정신건강의학과,051-555-8009,부산 동래구 충렬대로 426,"09:00 - 17:30
12:30 - 13:30 휴게시간
17:00 접수마감",,"09:00 - 17:30
12:30 - 13:30 휴게시간
17:00 접수마감","09:00 - 17:30
12:30 - 13:30 휴게시간
17:00 접수마감","09:00 - 17:30
12:30 - 13:30 휴게시간
17:00 접수마감",정기휴무 (매주 토요일),정기휴무 (매주 일요일),,,
365늘봄한의원,한의원,0507-1398-9003,부산 동래구 석사로 5 3층 365늘봄한의원,"09:30 - 20:30
13:00 - 14:00 휴게시간",,"09:30 - 20:30
13:00 - 14:00 휴게시간","09:30 - 19:00
13:00 - 14:00 휴게시간","09:30 - 19:00
13:00 - 14:00 휴게시간",09:30 - 15:00,10:00 - 14:00,,,
박규욱비뇨기과의원,비뇨의학과,051-552-2824,부산 동래구 충렬대로 248,"09:00 - 17:30
12:50 - 14:00 휴게시간",,"09:00 - 17:30
12:50 - 14:00 휴게시간","09:00 - 17:30
12:50 - 14:00 휴게시간","09:00 - 17:30
12:50 - 14:00 휴게시간",09:00 - 12:00,정기휴무 (매주 일요일),,,
박성배피부과의원,피부과,051-554-2100,부산 동래구 충렬대로 249-1,"09:30 - 18:00
12:30 - 14:00 휴게시간",,"09:30 - 18:00
12:30 - 14:00 휴게시간","09:30 - 18:00
12:30 - 14:00 휴게시간","09:30 - 18:00
12:30 - 14:00 휴게시간",09:30 - 13:00,정기휴무 (매주 일요일),,,
이현정정신건강의학과의원,정신건강의학과,051-555-8772,부산 동래구 충렬대로 248,"09:30 - 18:00
13:00 - 14:00 휴게시간",,"09:30 - 18:00
13:00 - 14:00 휴게시간",09:30 - 13:00,"09:30 - 18:00
13:00 - 14:00 휴게시간",09:30 - 12:00,정기휴무 (매주 일요일),,,
뷰티플란트치과의원,치과,051-791-1151,부산 동래구 아시아드대로 142 사직빌딩 5층 뷰티플란트치과의원,"09:30 - 18:30
13:00 - 14:00 휴게시간",,"09:30 - 20:30
13:00 - 14:00 휴게시간","09:30 - 18:30
13:00 - 14:00 휴게시간","09:30 - 18:30
13:00 - 14:00 휴게시간",09:30 - 14:00,정기휴무 (매주 일요일),,,
새힘병원,"병원,의원",0507-1333-2817,부산 동래구 아시아드대로 261,"09:00 - 18:00
12:30 - 13:30 휴게시간",,"09:00 - 18:00
12:30 - 13:30 휴게시간","09:00 - 18:00
12:30 - 13:30 휴게시간","09:00 - 18:00
12:30 - 13:30 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
복있는치과의원,치과,051-552-2080,부산 동래구 중앙대로1381번길 17,"09:30 - 18:00
13:00 - 14:00 휴게시간",,"09:30 - 18:00
13:00 - 14:00 휴게시간","09:30 - 18:00
13:00 - 14:00 휴게시간","09:30 - 18:00
13:00 - 14:00 휴게시간",10:30 - 13:00,정기휴무 (매주 일요일),,,
이주홍내과의원,내과,051-526-6030,부산 동래구 명장로20번길 32,"09:00 - 18:00
12:30 - 14:00 휴게시간
17:50 접수마감",,"09:00 - 18:00
12:30 - 14:00 휴게시간
17:50 접수마감","09:00 - 18:00
12:30 - 14:00 휴게시간
17:50 접수마감","09:00 - 18:00
12:30 - 14:00 휴게시간
17:50 접수마감","09:00 - 13:00
12:50 접수마감",정기휴무 (매주 일요일),,,
육육치과의원,치과,051-556-6607,부산 동래구 중앙대로 1523 SK허브스카이 2층,09:30 - 18:30,,09:30 - 18:30,09:30 - 18:30,09:30 - 18:30,09:30 - 13:00,정기휴무 (매주 일요일),,,
새하하재활의학과의원,재활의학과,0507-1433-7585,부산 동래구 충렬대로 417,"09:00 - 18:30
13:00 - 14:00 휴게시간",,"09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
이종환가정의학과의원,가정의학과,051-525-9474,부산 동래구 명서로 154,"09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),09:00 - 19:00,13:00 - 14:00 ,
이승하한의원,한의원,0507-1351-5578,부산 동래구 사직북로19번길 18 Lshouse 이승하 한의원 8층,"09:00 - 18:00
12:30 - 14:00 휴게시간",,"09:00 - 18:00
12:30 - 14:00 휴게시간",14:00 - 18:00,"09:00 - 18:00
12:30 - 14:00 휴게시간",09:30 - 13:00,정기휴무 (매주 일요일),,,
연세바른치과의원,치과,051-557-2875,부산 동래구 온천장로 1 2층,"09:30 - 18:30
12:30 - 14:00 휴게시간
18:00 접수마감",,"09:30 - 18:30
12:30 - 14:00 휴게시간
18:00 접수마감","09:30 - 20:30
12:30 - 14:00 휴게시간
20:00 접수마감","09:30 - 18:30
12:30 - 14:00 휴게시간
18:00 접수마감","09:00 - 13:30
13:00 접수마감",정기휴무 (매주 일요일),,,
나르샤병원,정형외과,0507-1368-7878,부산 동래구 중앙대로1493번길 6 나르샤병원,"09:00 - 18:00
12:30 - 13:30 휴게시간",,"09:00 - 17:00
12:30 - 13:30 휴게시간","09:00 - 17:00
12:30 - 13:30 휴게시간","09:00 - 17:00
12:30 - 13:30 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
