수,address,목,월,일(6/4),type,phone,목(6/8),매일,토(6/3),금,name,월(6/5),일,화(6/6),수(6/7),화,토
"09:00 - 17:30
12:30 - 14:00 휴게시간
17:00 접수마감",부산 북구 금곡대로 133,"09:00 - 17:30
12:30 - 14:00 휴게시간
17:00 접수마감","09:00 - 17:30
12:30 - 14:00 휴게시간
17:00 접수마감",,"병원,의원",051-363-2331,,,,"09:00 - 17:30
12:30 - 14:00 휴게시간
17:00 접수마감",맥켄지일신기독병원,,정기휴무 (매주 일요일),현충일 휴무,,,"09:00 - 12:30
12:00 접수마감"
"09:00 - 19:00
12:30 - 14:00 휴게시간",경남 김해시 계동로 21,"09:00 - 19:00
12:30 - 14:00 휴게시간","09:00 - 19:00
12:30 - 14:00 휴게시간",,가정의학과,055-723-2295,,,,"09:00 - 19:00
12:30 - 14:00 휴게시간",최경서가정의학과의원,,정기휴무 (매주 일요일),현충일 휴무,,,09:00 - 13:00
"09:30 - 20:00
12:30 - 14:00 휴게시간","부산 사상구 사상로 194 괘법동 메디컬센터 4층, 5층","09:30 - 19:00
12:30 - 14:00 휴게시간","09:30 - 19:00
12:30 - 14:00 휴게시간",,치과,051-322-3332,,,,"09:30 - 19:00
12:30 - 14:00 휴게시간",마린플란트치과의원,,09:30 - 14:00,현충일 휴무,,,09:30 - 14:00
"08:30 - 18:00
13:00 - 14:00 휴게시간
17:00 접수마감",부산 사하구 낙동대로 410,"08:30 - 18:00
13:00 - 14:00 휴게시간
17:00 접수마감","08:30 - 18:00
13:00 - 14:00 휴게시간
17:00 접수마감",,정형외과,051-205-7776,,,,"08:30 - 18:00
13:00 - 14:00 휴게시간
17:00 접수마감",한마음정형외과의원,,정기휴무 (매주 일요일),현충일 휴무,,,"08:30 - 13:00
12:00 접수마감"
09:00 - 13:00,부산 사상구 사상로 231,"09:00 - 17:30
13:00 - 14:00 휴게시간
접기","09:00 - 17:30
13:00 - 14:00 휴게시간",,내과,051-325-8275,,,,"09:00 - 17:30
13:00 - 14:00 휴게시간",셀빙강내과의원,,정기휴무 (매주 일요일),,,"09:00 - 17:30
13:00 - 14:00 휴게시간",09:00 - 13:00
"09:00 - 18:30
13:00 - 14:00 휴게시간",경남 김해시 내외로 79 꿀벌상가 3층,"09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간",,이비인후과,0507-1368-7500,,,,"09:00 - 18:30
13:00 - 14:00 휴게시간",삼성이비인후과의원,,정기휴무 (매주 일요일),휴무,,,"09:00 - 15:00
13:00 - 13:30 휴게시간"
"09:00 - 19:00
13:00 - 14:00 휴게시간",부산 사하구 사하로 200 형지스퀘어 6층,"09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간",,정형외과,051-987-0123,,,,"09:00 - 19:00
13:00 - 14:00 휴게시간",탑정형외과의원,,정기휴무 (매주 일요일),현충일 휴무,,,09:00 - 14:00
08:30 - 12:30,경남 김해시 율하로 476 3층,"08:30 - 18:30
12:30 - 14:00 휴게시간
접기","08:30 - 18:30
12:30 - 14:00 휴게시간",,소아청소년과,0507-1479-7983,,,,"08:30 - 18:30
12:30 - 14:00 휴게시간",드림소아청소년과의원,,정기휴무 (매주 일요일),현충일09:00 - 14:00,,,09:00 - 14:00
"09:00 - 19:00
12:30 - 14:00 휴게시간",경남 김해시 내외로 79 꿀벌상가,14:00 - 19:00,"09:00 - 19:00
12:30 - 14:00 휴게시간",,정형외과,055-329-8787,,,,"09:00 - 19:00
12:30 - 14:00 휴게시간",장윤석정형외과의원,,정기휴무 (매주 일요일),,,"09:00 - 19:00
12:30 - 14:00 휴게시간",09:00 - 15:00
"10:00 - 19:00
13:00 - 14:00 휴게시간
18:30 접수마감",경남 김해시 내외중앙로 60 신한프라자 2층,"13:00 - 19:30
19:00 접수마감","10:00 - 19:00
13:00 - 14:00 휴게시간
18:30 접수마감",,피부과,055-326-7575,,,,"10:00 - 19:00
13:00 - 14:00 휴게시간
18:30 접수마감",화이트필의원,,정기휴무 (매주 일요일),현충일 휴무,,,"10:00 - 15:00
14:30 접수마감"
