,병원이름,병원종류,전화번호,병원주소,월,화,수,목,금,토,일,영업시간,쉬는시간,접수마감,정기휴무
169,이든정신건강의학과의원,정신건강의학과,0507-1426-1077,부산 남구 수영로 260 백리명가에덴 상가 6층 612호,정기휴무 (매주 월요일),,"09:30 - 18:30
12:30 - 14:00 휴게시간
17:30 접수마감","09:30 - 18:30
12:30 - 14:00 휴게시간
17:30 접수마감","09:30 - 18:30
12:30 - 14:00 휴게시간
17:30 접수마감","09:00 - 13:30
12:30 접수마감",정기휴무 (매주 일요일),"정기휴무 (매주 월요일)

09:30 - 18:30
09:30 - 18:30
09:30 - 18:30
09:00 - 13:30
정기휴무 (매주 일요일)",,12:30, 월요일
170,서울프라임치과의원,치과,051-642-1876,부산 남구 수영로 228,"09:30 - 18:30
12:30 - 14:00 휴게시간",,"09:30 - 18:30
12:30 - 14:00 휴게시간",09:30 - 12:30,"09:30 - 18:30
12:30 - 14:00 휴게시간",09:30 - 13:00,정기휴무 (매주 일요일),"09:30 - 18:30

09:30 - 18:30
09:30 - 12:30
09:30 - 18:30
09:30 - 13:00
정기휴무 (매주 일요일)",12:30 - 14:00 ,, 일요일
171,뷰티스마일치과의원,치과,0507-1406-2804,부산 남구 수영로325번길 11 마로니에타운 3층 뷰티스마일치과의원,,,"10:00 - 18:30
13:00 - 14:30 휴게시간
18:00 접수마감",,"10:00 - 18:30
13:00 - 14:30 휴게시간
18:00 접수마감","10:00 - 14:00
13:30 접수마감",정기휴무 (매주 일요일),"

10:00 - 18:30

10:00 - 18:30
10:00 - 14:00
정기휴무 (매주 일요일)",,13:30, 일요일
172,심은희내과의원,내과,051-928-3301,부산 남구 수영로 241 위대항병원 건물 3층,"09:00 - 18:00
13:00 - 14:00 휴게시간",,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),"09:00 - 18:00

09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
09:00 - 13:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,, 일요일
173,레진치과의원,치과,051-959-1000,부산 남구 용호로 48 2층,"12:00 - 21:00
17:00 - 18:00 휴게시간
16:30, 20:30 접수마감",,"10:00 - 19:00
13:00 - 14:00 휴게시간
12:30, 18:30 접수마감","12:00 - 21:00
17:00 - 18:00 휴게시간
16:30, 20:30 접수마감","10:00 - 19:00
13:00 - 14:00 휴게시간
12:30, 18:30 접수마감",정기휴무 (매주 토요일),정기휴무 (매주 일요일),"12:00 - 21:00

10:00 - 19:00
12:00 - 21:00
10:00 - 19:00
정기휴무 (매주 토요일)
정기휴무 (매주 일요일)",17:00 - 18:00 ,, 토요일
174,약손한의원,한의원,0507-1471-7503,부산 남구 분포로 61 빌리브센트로 A동 215호,"09:30 - 19:00
12:30 - 14:00 휴게시간
18:30 접수마감",,"09:30 - 19:00
12:30 - 14:00 휴게시간
18:30 접수마감","14:00 - 19:00
18:30 접수마감","09:30 - 19:00
12:30 - 14:00 휴게시간
18:30 접수마감","09:30 - 14:00
13:30 접수마감",정기휴무 (매주 일요일),"09:30 - 19:00

09:30 - 19:00
14:00 - 19:00
09:30 - 19:00
09:30 - 14:00
정기휴무 (매주 일요일)",12:30 - 14:00 ,18:30, 일요일
175,인창대연요양병원,요양병원,051-774-1004,부산 남구 수영로 164,"08:30 - 17:30
12:30 - 13:30 휴게시간",,"08:30 - 17:30
12:30 - 13:30 휴게시간","08:30 - 17:30
12:30 - 13:30 휴게시간","08:30 - 17:30
12:30 - 13:30 휴게시간",정기휴무 (매주 토요일),정기휴무 (매주 일요일),"08:30 - 17:30

08:30 - 17:30
08:30 - 17:30
08:30 - 17:30
정기휴무 (매주 토요일)
정기휴무 (매주 일요일)",12:30 - 13:30 ,, 토요일
176,로덴치과의원,치과,0507-1310-1928,부산 남구 분포로 113 엘지메트로시티주상가 1005동 302호,"09:40 - 18:30
12:30 - 14:00 휴게시간",,"09:40 - 18:30
12:30 - 14:00 휴게시간","09:40 - 18:30
12:30 - 14:00 휴게시간","09:40 - 18:30
12:30 - 14:00 휴게시간",09:40 - 13:00,정기휴무 (매주 일요일),"09:40 - 18:30

09:40 - 18:30
09:40 - 18:30
09:40 - 18:30
09:40 - 13:00
정기휴무 (매주 일요일)",12:30 - 14:00 ,, 일요일
177,최원복소아청소년과의원,소아청소년과,051-628-7711,부산 남구 수영로 323 태강프라자 2층 201호 최원복소아청소년과,정기휴무 (매주 월요일),,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,"09:00 - 17:00
12:30 - 13:30 휴게시간",정기휴무 (매주 일요일),"정기휴무 (매주 월요일)

09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
09:00 - 17:00
정기휴무 (매주 일요일)",,, 월요일
178,조용현안과,안과,No phone number available,부산 남구 수영로 198-1,,,,,,,,"





",,,
179,명인이플란트치과의원,치과,0507-1359-2870,부산 남구 수영로 223 1층,"09:30 - 21:00
13:00 - 14:30 휴게시간",,"09:30 - 19:00
13:00 - 14:30 휴게시간","09:30 - 21:00
13:00 - 14:30 휴게시간","09:30 - 19:00
13:00 - 14:30 휴게시간",09:30 - 14:00,정기휴무 (매주 일요일),"09:30 - 21:00

09:30 - 19:00
09:30 - 21:00
09:30 - 19:00
09:30 - 14:00
정기휴무 (매주 일요일)",13:00 - 14:30 ,, 일요일
180,부산성모병원 응급실,응급실,051-933-7119,부산 남구 용호로232번길 25-14 부산성모병원,,,,,,,,"





",,,
181,안무경가정의학과의원,가정의학과,051-626-3030,부산 남구 유엔평화로 152-2 한신문화타운상가 208~209호,"09:00 - 17:40
12:30 - 14:00 휴게시간",,"09:00 - 16:00
12:30 - 14:00 휴게시간","09:00 - 17:40
12:30 - 14:00 휴게시간","09:00 - 17:40
12:30 - 14:00 휴게시간",09:00 - 12:30,정기휴무 (매주 일요일),"09:00 - 17:40

09:00 - 16:00
09:00 - 17:40
09:00 - 17:40
09:00 - 12:30
정기휴무 (매주 일요일)",12:30 - 14:00 ,, 일요일
182,슬기로운내과의원,내과,051-645-3388,부산 남구 고동골로 16 2층,"08:30 - 18:00
13:00 - 14:00 휴게시간",,"08:30 - 18:00
13:00 - 14:00 휴게시간","08:30 - 18:00
13:00 - 14:00 휴게시간","08:30 - 18:00
13:00 - 14:00 휴게시간",08:30 - 14:00,정기휴무 (매주 일요일),"08:30 - 18:00

08:30 - 18:00
08:30 - 18:00
08:30 - 18:00
08:30 - 14:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,, 일요일
183,부산성모병원 장례식장,장례식장,051-933-7480,부산 남구 고동골로 16 2층,,,,,,,,"





",,,
184,장주경치과의원,치과,051-626-7972,부산 남구 수영로 330 신화빌딩,"09:30 - 18:30
12:30 - 14:00 휴게시간",,"09:30 - 18:30
12:30 - 14:00 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간",09:30 - 13:30,정기휴무 (매주 일요일),"09:30 - 18:30

09:30 - 18:30
09:30 - 18:30
09:30 - 18:30
09:30 - 13:30
정기휴무 (매주 일요일)",12:30 - 14:00 ,, 일요일
185,더블유한의원,한의원,051-711-8575,부산 남구 분포로 145 W스퀘어 1113호,"10:00 - 19:00
13:00 - 14:00 휴게시간",,10:00 - 15:00,"10:00 - 19:00
13:00 - 14:00 휴게시간","10:00 - 19:00
13:00 - 14:00 휴게시간",10:00 - 15:00,정기휴무 (매주 일요일),"10:00 - 19:00

10:00 - 15:00
10:00 - 19:00
10:00 - 19:00
10:00 - 15:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,, 일요일
186,광덕안정한의원 부산대연점,한의원,051-714-2475,"부산 남구 용소로 5 2, 5, 6층","08:00 - 21:00
13:00 - 14:00 휴게시간
20:20 접수마감",,"08:00 - 21:00
13:00 - 14:00 휴게시간
20:20 접수마감","08:00 - 21:00
13:00 - 14:00 휴게시간
20:20 접수마감","08:00 - 21:00
13:00 - 14:00 휴게시간
20:20 접수마감","08:00 - 17:00
13:00 - 14:00 휴게시간
16:20 접수마감","08:00 - 17:00
13:00 - 14:00 휴게시간
16:20 접수마감","08:00 - 21:00

08:00 - 21:00
08:00 - 21:00
08:00 - 21:00
08:00 - 17:00
08:00 - 17:00",13:00 - 14:00 ,,
187,새롬이비인후과의원,이비인후과,0507-1433-7576,부산 남구 수영로 230 이상원정형외과,"09:00 - 18:30
12:30 - 14:00 휴게시간",,"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),"09:00 - 18:30

09:00 - 18:30
09:00 - 18:30
09:00 - 18:30
09:00 - 13:00
정기휴무 (매주 일요일)",12:30 - 14:00 ,, 일요일
188,그랜드치과의원,치과,051-264-2875,부산 남구 동명로 139,"09:30 - 18:30
13:00 - 14:00 휴게시간",,"09:30 - 18:30
13:00 - 14:00 휴게시간","09:30 - 18:30
13:00 - 14:00 휴게시간","09:30 - 18:30
13:00 - 14:00 휴게시간",09:30 - 13:30,정기휴무 (매주 일요일),"09:30 - 18:30

09:30 - 18:30
09:30 - 18:30
09:30 - 18:30
09:30 - 13:30
정기휴무 (매주 일요일)",13:00 - 14:00 ,, 일요일
189,본드림한의원,한의원,051-741-7588,부산 남구 수영로 345 3층,,,"10:00 - 20:00
12:30 - 14:00 휴게시간","10:00 - 18:00
12:30 - 14:00 휴게시간","10:00 - 18:00
12:30 - 14:00 휴게시간",10:00 - 14:00,정기휴무 (매주 일요일),"

10:00 - 20:00
10:00 - 18:00
10:00 - 18:00
10:00 - 14:00
정기휴무 (매주 일요일)",,, 일요일
190,신세종피부비뇨기과의원,비뇨의학과,051-628-8017,부산 남구 수영로 203 대연 메디칼센터,"09:00 - 18:30
12:30 - 14:00 휴게시간",,"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),"09:00 - 18:30

09:00 - 18:30
09:00 - 18:30
09:00 - 18:30
09:00 - 13:00
정기휴무 (매주 일요일)",12:30 - 14:00 ,, 일요일
191,서울리더스치과의원,치과,051-637-2879,부산 남구 문현금융로 40 부산국제금융센터 BIFC몰상가 302호,"09:30 - 19:00
13:00 - 14:30 휴게시간",,"09:30 - 19:00
13:00 - 14:30 휴게시간","09:30 - 19:00
13:00 - 14:30 휴게시간","09:30 - 19:00
13:00 - 14:30 휴게시간",09:30 - 13:00,정기휴무 (매주 일요일),"09:30 - 19:00

09:30 - 19:00
09:30 - 19:00
09:30 - 19:00
09:30 - 13:00
정기휴무 (매주 일요일)",13:00 - 14:30 ,, 일요일
192,김영수내과의원,내과,051-611-6151,부산 남구 수영로 209 일동 지에닌 상가2층,"09:00 - 18:30
13:00 - 14:00 휴게시간",,"09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간",09:00 - 14:00,정기휴무 (매주 일요일),"09:00 - 18:30

09:00 - 18:30
09:00 - 18:30
09:00 - 18:30
09:00 - 14:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,, 일요일
193,산삼한의원,한의원,0507-1470-1077,부산 남구 수영로 260 남천메디컬 대연백리명가 6층,"09:10 - 20:30
13:00 - 14:00 휴게시간
20:00 접수마감",,"09:10 - 20:30
13:00 - 14:00 휴게시간
20:00 접수마감","09:10 - 20:30
13:00 - 14:00 휴게시간
20:00 접수마감","09:10 - 20:30
13:00 - 14:00 휴게시간
20:00 접수마감","09:10 - 15:00
14:30 접수마감","09:10 - 15:00
14:30 접수마감","09:10 - 20:30

09:10 - 20:30
09:10 - 20:30
09:10 - 20:30
09:10 - 15:00
09:10 - 15:00",13:00 - 14:00 ,14:30,
194,박창수한의원,한의원,051-636-1059,부산 남구 고동골로 8,"09:00 - 18:00
13:00 - 14:30 휴게시간","09:00 - 18:00
13:00 - 14:30 휴게시간","09:00 - 20:30
13:00 - 14:30 휴게시간
18:30 - 19:30 휴게시간","정기휴무 (매주 목요일)
접기","09:00 - 18:00
13:00 - 14:30 휴게시간","09:00 - 16:30
13:00 - 14:30 휴게시간",정기휴무 (매주 일요일),"09:00 - 18:00
09:00 - 18:00
09:00 - 20:30
정기휴무 (매주 목요일)
09:00 - 18:00
09:00 - 16:30
정기휴무 (매주 일요일)",13:00 - 14:30 ,, 목요일
195,이좋은45치과의원,치과,051-711-2845,부산 남구 수영로 163 삼화메디컬타워 6층,"09:30 - 18:30
13:00 - 14:30 휴게시간",,"09:30 - 21:00
13:00 - 14:30 휴게시간",정기휴무 (매주 목요일),"09:30 - 18:30
13:00 - 14:30 휴게시간",09:30 - 13:00,정기휴무 (매주 일요일),"09:30 - 18:30

09:30 - 21:00
정기휴무 (매주 목요일)
09:30 - 18:30
09:30 - 13:00
정기휴무 (매주 일요일)",13:00 - 14:30 ,, 목요일
196,e라인치과의원,치과,051-612-2885,부산 남구 수영로 299 대한결핵협회 남부지회 7층,"10:30 - 19:00
13:00 - 14:30 휴게시간
18:00 접수마감",,정기휴무 (매주 수요일),"10:30 - 19:00
13:00 - 14:30 휴게시간
18:00 접수마감","10:30 - 19:00
13:00 - 14:30 휴게시간
18:00 접수마감","10:00 - 14:00
13:00 접수마감",정기휴무 (매주 일요일),"10:30 - 19:00

정기휴무 (매주 수요일)
10:30 - 19:00
10:30 - 19:00
10:00 - 14:00
정기휴무 (매주 일요일)",13:00 - 14:30 ,13:00, 수요일
197,김정태정형외과의원,정형외과,051-628-1997,부산 남구 수영로 230,"09:00 - 18:00
13:00 - 14:00 휴게시간
17:15 접수마감",,"09:00 - 18:00
13:00 - 14:00 휴게시간
17:15 접수마감","09:00 - 18:00
13:00 - 14:00 휴게시간
17:15 접수마감","09:00 - 18:00
13:00 - 14:00 휴게시간
17:15 접수마감","09:00 - 13:00
12:15 접수마감",정기휴무 (매주 일요일),"09:00 - 18:00

09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
09:00 - 13:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,12:15, 일요일
198,신진근이비인후과의원,이비인후과,051-612-5075,부산 남구 분포로 113 엘지메트로시티 주2상가 3층 303호,"09:00 - 18:30
12:30 - 14:00 휴게시간",,14:00 - 18:30,"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),"09:00 - 18:30

14:00 - 18:30
09:00 - 18:30
09:00 - 18:30
09:00 - 13:00
정기휴무 (매주 일요일)",12:30 - 14:00 ,, 일요일
199,새로운치과의원,치과,051-633-2804,부산 남구 수영로 195-5,"09:30 - 21:00
13:00 - 14:30 휴게시간",,"09:30 - 21:00
13:00 - 14:30 휴게시간","09:30 - 19:00
13:00 - 14:30 휴게시간","09:30 - 19:00
13:00 - 14:30 휴게시간",09:30 - 13:00,정기휴무 (매주 일요일),"09:30 - 21:00

09:30 - 21:00
09:30 - 19:00
09:30 - 19:00
09:30 - 13:00
정기휴무 (매주 일요일)",13:00 - 14:30 ,, 일요일
200,새이치과의원,치과,0507-1331-2825,부산 남구 석포로 76,"09:30 - 18:30
13:00 - 14:00 휴게시간",,"09:30 - 18:30
13:00 - 14:00 휴게시간","09:30 - 18:30
13:00 - 14:00 휴게시간","09:30 - 18:30
13:00 - 14:00 휴게시간",09:30 - 13:30,정기휴무 (매주 일요일),"09:30 - 18:30

09:30 - 18:30
09:30 - 18:30
09:30 - 18:30
09:30 - 13:30
정기휴무 (매주 일요일)",13:00 - 14:00 ,, 일요일
201,경희서울한의원,한의원,051-710-7525,부산 남구 용호로 173 1층,"09:00 - 20:00
12:30 - 14:00 휴게시간",,"09:00 - 20:00
12:30 - 14:00 휴게시간","09:00 - 20:00
12:30 - 14:00 휴게시간
접기","09:00 - 20:00
12:30 - 14:00 휴게시간",09:00 - 15:00,09:00 - 15:00,"09:00 - 20:00

09:00 - 20:00
09:00 - 20:00
09:00 - 20:00
09:00 - 15:00
09:00 - 15:00",12:30 - 14:00 ,,
202,참사랑의원,내과,051-527-3331,부산 남구 전포대로92번길 6 세일의원,09:00 - 18:30,,09:00 - 18:30,09:00 - 18:30,09:00 - 18:30,09:00 - 14:00,정기휴무 (매주 일요일),"09:00 - 18:30

09:00 - 18:30
09:00 - 18:30
09:00 - 18:30
09:00 - 14:00
정기휴무 (매주 일요일)",,, 일요일
203,온부부치과의원,치과,051-611-2825,부산 남구 용호로 159 청솔학원,"09:30 - 19:30
12:30 - 14:00 휴게시간",,"09:30 - 18:00
12:30 - 14:00 휴게시간","09:30 - 18:00
12:30 - 14:00 휴게시간","09:30 - 18:00
12:30 - 14:00 휴게시간",09:30 - 13:00,정기휴무 (매주 일요일),"09:30 - 19:30

09:30 - 18:00
09:30 - 18:00
09:30 - 18:00
09:30 - 13:00
정기휴무 (매주 일요일)",12:30 - 14:00 ,, 일요일
204,서민정형외과의원,정형외과,051-621-7890,부산 남구 용호로 132-1 서민외과의원,"09:00 - 18:00
12:30 - 14:00 휴게시간",,09:00 - 12:30,"09:00 - 18:00
12:30 - 14:00 휴게시간","09:00 - 18:00
12:30 - 14:00 휴게시간",09:00 - 12:30,정기휴무 (매주 일요일),"09:00 - 18:00

09:00 - 12:30
09:00 - 18:00
09:00 - 18:00
09:00 - 12:30
정기휴무 (매주 일요일)",12:30 - 14:00 ,, 일요일
205,그린마취통증의학과의원,마취통증의학과,051-611-8998,부산 남구 용호로 189-2 2층 그린마취통증의학과의원,"09:00 - 17:00
12:00 - 14:00 휴게시간",,"09:00 - 17:00
12:00 - 14:00 휴게시간",09:00 - 12:00,"09:00 - 17:00
12:00 - 14:00 휴게시간",09:00 - 12:00,정기휴무 (매주 일요일),"09:00 - 17:00

09:00 - 17:00
09:00 - 12:00
09:00 - 17:00
09:00 - 12:00
정기휴무 (매주 일요일)",12:00 - 14:00 ,, 일요일
206,그랜드자연요양병원,요양병원,051-612-0075,부산 남구 황령대로 355-14,09:30 - 18:00,,09:30 - 18:00,09:30 - 18:00,09:30 - 18:00,정기휴무 (매주 토요일),정기휴무 (매주 일요일),"09:30 - 18:00

09:30 - 18:00
09:30 - 18:00
09:30 - 18:00
정기휴무 (매주 토요일)
정기휴무 (매주 일요일)",,, 토요일
207,대연혁신치과의원,치과,051-627-5657,부산 남구 수영로 345 대연힐스테이트푸르지오,"09:30 - 18:00
12:30 - 14:00 휴게시간",,"09:30 - 18:00
12:30 - 14:00 휴게시간","09:30 - 18:00
12:30 - 14:00 휴게시간","09:30 - 18:00
12:30 - 14:00 휴게시간",09:30 - 13:00,정기휴무 (매주 일요일),"09:30 - 18:00

09:30 - 18:00
09:30 - 18:00
09:30 - 18:00
09:30 - 13:00
정기휴무 (매주 일요일)",12:30 - 14:00 ,, 일요일
208,삐뚤한이바르게치과 교정과치과의원,치과,0507-1313-2833,부산 남구 용소로 4 동아서적빌딩 8층 삐뚤한이바르게치과교정과치과의원,,,"10:30 - 19:00
13:00 - 14:30 휴게시간
18:30 접수마감",,"10:30 - 19:00
13:00 - 14:30 휴게시간
18:30 접수마감","09:30 - 14:00
13:30 접수마감",정기휴무 (매주 일요일),"

10:30 - 19:00

10:30 - 19:00
09:30 - 14:00
정기휴무 (매주 일요일)",,13:30, 일요일
209,이곳치과의원,치과,051-942-2875,부산 남구 수영로 157,"10:00 - 19:00
13:00 - 14:30 휴게시간",,"10:00 - 19:00
13:00 - 14:30 휴게시간","10:00 - 19:00
13:00 - 14:30 휴게시간","10:00 - 19:00
13:00 - 14:30 휴게시간",10:00 - 14:00,정기휴무 (매주 일요일),"10:00 - 19:00

10:00 - 19:00
10:00 - 19:00
10:00 - 19:00
10:00 - 14:00
정기휴무 (매주 일요일)",13:00 - 14:30 ,, 일요일
210,혜인한의원,한의원,051-628-5213,부산 남구 수영로 256 혜인한의원,"10:00 - 20:00
13:00 - 14:30 휴게시간",,10:00 - 13:00,"10:00 - 20:00
13:00 - 14:30 휴게시간
접기","10:00 - 19:00
13:00 - 14:30 휴게시간",10:00 - 16:00,정기휴무 (매주 일요일),"10:00 - 20:00

10:00 - 13:00
10:00 - 20:00
10:00 - 19:00
10:00 - 16:00
정기휴무 (매주 일요일)",13:00 - 14:30 ,, 일요일
211,대연마취통증의학과의원,마취통증의학과,051-628-8280,부산 남구 수영로 223 삼창빌딩 3층,09:00 - 18:00,,09:00 - 18:00,09:00 - 13:00,09:00 - 18:00,09:00 - 14:00,정기휴무 (매주 일요일),"09:00 - 18:00

09:00 - 18:00
09:00 - 13:00
09:00 - 18:00
09:00 - 14:00
정기휴무 (매주 일요일)",,, 일요일
212,전치과의원,치과,051-635-0018,부산 남구 고동골로 16,"09:30 - 18:00
13:00 - 14:30 휴게시간",,"09:30 - 18:00
13:00 - 14:30 휴게시간",14:30 - 18:00,"09:30 - 18:00
13:00 - 14:30 휴게시간",09:30 - 12:00,정기휴무 (매주 일요일),"09:30 - 18:00

09:30 - 18:00
14:30 - 18:00
09:30 - 18:00
09:30 - 12:00
정기휴무 (매주 일요일)",13:00 - 14:30 ,, 일요일
213,수부부치과의원,치과,051-628-8020,부산 남구 수영로 298 산암빌딩,"09:30 - 18:00
13:00 - 14:00 휴게시간",,"09:30 - 18:00
13:00 - 14:00 휴게시간","09:30 - 18:00
13:00 - 14:00 휴게시간","09:30 - 18:00
13:00 - 14:00 휴게시간",09:30 - 13:00,정기휴무 (매주 일요일),"09:30 - 18:00

09:30 - 18:00
09:30 - 18:00
09:30 - 18:00
09:30 - 13:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,, 일요일
214,이만재내과의원,내과,051-622-2233,부산 남구 황령대로 488 이만재내과의원,"09:00 - 18:00
12:30 - 14:00 휴게시간",,"09:00 - 18:00
12:30 - 14:00 휴게시간","09:00 - 18:00
12:30 - 14:00 휴게시간","09:00 - 18:00
12:30 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),"09:00 - 18:00

09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
09:00 - 13:00
정기휴무 (매주 일요일)",12:30 - 14:00 ,, 일요일
215,구자영내과의원,내과,051-646-3345,부산 남구 수영로 182-1 3층,"09:00 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감",,"09:00 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감","09:00 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감","09:00 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감","09:00 - 13:00
12:30 접수마감",정기휴무 (매주 일요일),"09:00 - 18:00

09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
09:00 - 13:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,12:30, 일요일
216,대연성모병원,"병원,의원",051-622-2525,부산 남구 황령대로353번길 66 대연성모병원,09:00 - 18:00,,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,정기휴무 (매주 토요일),정기휴무 (매주 일요일),"09:00 - 18:00

09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
정기휴무 (매주 토요일)
정기휴무 (매주 일요일)",,, 토요일
217,BH병원,정신건강의학과,051-633-6665,부산 남구 수영로 165 BH병원,"09:00 - 17:30
12:30 - 13:00 휴게시간
17:00 접수마감",,"09:00 - 17:30
12:30 - 13:00 휴게시간
17:00 접수마감","09:00 - 17:30
12:30 - 13:00 휴게시간
17:00 접수마감","09:00 - 17:30
12:30 - 13:00 휴게시간
17:00 접수마감",정기휴무 (매주 토요일),정기휴무 (매주 일요일),"09:00 - 17:30

09:00 - 17:30
09:00 - 17:30
09:00 - 17:30
정기휴무 (매주 토요일)
정기휴무 (매주 일요일)",12:30 - 13:00 ,, 토요일
218,유앤아이치과의원,치과,051-635-0035,부산 남구 수영로 33 203호,"09:30 - 18:30
13:00 - 14:30 휴게시간",,"09:30 - 18:30
13:00 - 14:30 휴게시간",14:30 - 20:30,"09:30 - 18:30
13:00 - 14:30 휴게시간",09:30 - 13:30,정기휴무 (매주 일요일),"09:30 - 18:30

09:30 - 18:30
14:30 - 20:30
09:30 - 18:30
09:30 - 13:30
정기휴무 (매주 일요일)",13:00 - 14:30 ,, 일요일
219,경희자강한의원,한의원,051-929-0030,부산 남구 용호로160번길 4 1층 경희자강한의원,"09:00 - 18:00
12:30 - 14:00 휴게시간",,"09:00 - 18:00
12:30 - 14:00 휴게시간","09:00 - 18:00
12:30 - 14:00 휴게시간","09:00 - 18:00
12:30 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),"09:00 - 18:00

09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
09:00 - 13:00
정기휴무 (매주 일요일)",12:30 - 14:00 ,, 일요일
220,세화의원,"병원,의원",051-632-4392,부산 남구 석포로 64,09:00 - 18:30,,09:00 - 18:30,"09:00 - 18:30
접기",09:00 - 18:30,09:00 - 13:30,정기휴무 (매주 일요일),"09:00 - 18:30

09:00 - 18:30
09:00 - 18:30
09:00 - 18:30
09:00 - 13:30
정기휴무 (매주 일요일)",,, 일요일
221,하이미소치과의원,치과,051-802-1007,부산 남구 분포로 115 A동 204호,정기휴무 (매주 월요일),,정기휴무 (매주 수요일),"09:30 - 19:00
13:00 - 14:20 휴게시간
18:30 접수마감","09:30 - 19:00
13:00 - 14:20 휴게시간
18:30 접수마감","09:30 - 15:30
15:00 접수마감",정기휴무 (매주 일요일),"정기휴무 (매주 월요일)

정기휴무 (매주 수요일)
09:30 - 19:00
09:30 - 19:00
09:30 - 15:30
정기휴무 (매주 일요일)",,15:00, 월요일
222,참좋은치과의원,치과,051-622-7575,"부산 남구 수영로 204 1층, 2층","09:30 - 18:30
12:30 - 14:00 휴게시간
17:30 접수마감",,"09:30 - 18:30
12:30 - 14:00 휴게시간
17:30 접수마감","09:30 - 21:00
12:30 - 14:00 휴게시간
20:00 접수마감","09:30 - 18:30
12:30 - 14:00 휴게시간
17:30 접수마감","09:30 - 14:00
13:00 접수마감",정기휴무 (매주 일요일),"09:30 - 18:30

09:30 - 18:30
09:30 - 21:00
09:30 - 18:30
09:30 - 14:00
정기휴무 (매주 일요일)",12:30 - 14:00 ,13:00, 일요일
223,박홍석이비인후과의원,이비인후과,0507-1309-9517,부산 남구 수영로 203,"09:00 - 18:00
13:00 - 14:00 휴게시간",,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),"09:00 - 18:00

09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
09:00 - 13:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,, 일요일
224,뷰티플란트치과의원,치과,051-715-2879,부산 남구 수영로 169 션샤인DR시티 501호,,,,"09:30 - 18:30
13:00 - 14:00 휴게시간","09:30 - 18:30
13:00 - 14:00 휴게시간",,정기휴무 (매주 일요일),"


09:30 - 18:30
09:30 - 18:30

정기휴무 (매주 일요일)",,, 일요일
225,윌리스요양병원,요양병원,051-638-7575,부산 남구 수영로 185-7 원곡빌딩,"09:00 - 18:00
12:30 - 13:30 휴게시간","09:00 - 18:00
12:30 - 13:30 휴게시간","09:00 - 18:00
12:30 - 13:30 휴게시간","09:00 - 18:00
12:30 - 13:30 휴게시간
접기","09:00 - 18:00
12:30 - 13:30 휴게시간",09:00 - 12:00,정보없음,"09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
09:00 - 12:00
정보없음",12:30 - 13:30 ,,
