병원이름,병원주소,일(6/4),토(6/3),수,목(6/8),화(6/6),일,매일,월,화,수(6/7),전화번호,금(6/2),토,병원종류,월(6/5),목,금
김진규내과의원,부산 남구 고동골로78번길 12 동일약국,,,09:00 - 18:30,,현충일09:00 - 13:00,정기휴무 (매주 일요일),,09:00 - 18:30,,,0507-1314-7666,,09:00 - 14:00,내과,,"09:00 - 18:30
접기",09:00 - 18:30
새라새요양병원,부산 남구 석포로26번길 17,,,09:00 - 17:00,,현충일 휴무,정보없음,,09:00 - 17:00,,,051-628-6005,,09:00 - 12:00,요양병원,,09:00 - 17:00,09:00 - 17:00
정다운치과의원,부산 남구 황령대로319번가길 194 부산은행,,,"09:30 - 18:30
13:00 - 14:30 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:30 - 18:30
13:00 - 14:30 휴게시간",,,051-626-2882,,09:30 - 13:00,치과,,"09:30 - 18:30
13:00 - 14:30 휴게시간","09:30 - 18:30
13:00 - 14:30 휴게시간"
바른얼굴덕치과의원,부산 남구 수영로 261 제401동 208호~209호,,,10:00 - 14:00,,현충일 휴무,정기휴무 (매주 일요일),,"10:00 - 19:00
13:00 - 14:00 휴게시간",,,051-623-2080,,10:00 - 14:00,치과,,"10:00 - 20:00
13:00 - 14:00 휴게시간","10:00 - 19:00
13:00 - 14:00 휴게시간"
대연의원,부산 남구 수영로 256 혜인한의원 빌딩 2층 대연의원,,,"09:30 - 17:30
12:30 - 13:30 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:30 - 17:30
12:30 - 13:30 휴게시간",,,051-624-0607,,09:00 - 12:00,"병원,의원",,"09:30 - 17:30
12:30 - 13:30 휴게시간","09:30 - 17:30
12:30 - 13:30 휴게시간"
가나병원,부산 남구 유엔평화로 156,,,09:00 - 17:30,,현충일 휴무,정기휴무 (매주 일요일),,09:00 - 17:30,,,051-624-6666,,정기휴무 (매주 토요일),"병원,의원",,09:00 - 17:30,09:00 - 17:30
동재비뇨기과의원,부산 남구 용호로 144 정효경치과,,,"09:30 - 18:00
12:30 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:30 - 18:00
12:30 - 14:00 휴게시간",,,051-627-8825,,09:30 - 13:00,비뇨의학과,,"09:30 - 18:00
12:30 - 14:00 휴게시간","09:30 - 18:00
12:30 - 14:00 휴게시간"
스마일365한의원,부산 남구 수영로 201 2층,,,"09:00 - 20:00
13:00 - 14:00 휴게시간",,현충일09:00 - 20:00,09:00 - 14:00,,"09:00 - 20:00
13:00 - 14:00 휴게시간",,,051-715-7585,,09:00 - 14:00,한의원,,"09:00 - 20:00
13:00 - 14:00 휴게시간
접기","09:00 - 20:00
13:00 - 14:00 휴게시간"
성찬의원,부산 남구 용호로 129 두산빌딩,,,"09:00 - 18:00
12:40 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 18:00
12:40 - 14:00 휴게시간",,,051-625-8575,,09:00 - 12:00,내과,,09:00 - 12:00,"09:00 - 18:00
12:40 - 14:00 휴게시간"
용당요양병원,부산 남구 신선로 429,,,09:00 - 18:00,,현충일 휴무,정기휴무 (매주 일요일),,09:00 - 18:00,,,051-625-3001,,09:00 - 13:00,요양병원,,09:00 - 18:00,09:00 - 18:00
장수촌한의원,부산 남구 분포로 113 엘지메트로시티,,,"09:00 - 18:30
12:30 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 18:30
12:30 - 14:00 휴게시간",,,051-612-5353,,09:00 - 13:00,한의원,,"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간"
레전드이비인후과의원,부산 남구 수영로 151-1 3층,,,"09:00 - 18:30
12:30 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,,,,051-635-5075,,09:00 - 13:00,이비인후과,휴무,14:00 - 18:30,"09:00 - 18:30
12:30 - 14:00 휴게시간"
최계두내과의원,부산 남구 수영로 203 대연메디컬센터,,,"09:00 - 18:00
17:30 접수마감",,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 18:00
17:30 접수마감",,,051-621-0603,,"09:00 - 12:00
11:30 접수마감",내과,,"09:00 - 18:00
17:30 접수마감","09:00 - 18:00
17:30 접수마감"
대연맑은내과의원,부산 남구 수영로 233 11층,,,"09:00 - 18:30
12:30 - 13:30 휴게시간
18:20 접수마감",,"현충일09:00 - 14:00
12:30 - 13:30 휴게시간",정기휴무 (매주 일요일),,"09:00 - 18:30
12:30 - 13:30 휴게시간
18:20 접수마감",,,051-715-8277,,"09:00 - 14:00
12:30 - 13:30 휴게시간
13:50 접수마감",내과,,"09:00 - 18:30
12:30 - 13:30 휴게시간
18:20 접수마감
접기","09:00 - 18:30
12:30 - 13:30 휴게시간
18:20 접수마감"
고려치과의원,부산 남구 유엔평화로3번길 5 1층,,,"09:00 - 17:40
12:00 - 13:30 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 17:40
12:00 - 13:30 휴게시간",,,0507-1407-0142,,09:00 - 12:40,치과,,"09:00 - 17:40
12:00 - 13:30 휴게시간","09:00 - 17:40
12:00 - 13:30 휴게시간"
미치과,부산 남구 수영로 323,,,14:00 - 17:00,,현충일 휴무,정기휴무 (매주 일요일),,10:00 - 18:30,,,051-628-6111,,10:00 - 13:00,치과,,10:00 - 18:30,10:00 - 18:30
우암치과의원,부산 남구 우암로 148 부산은행,,,"09:00 - 18:00
13:00 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 18:00
13:00 - 14:00 휴게시간",,,051-637-2875,,09:00 - 13:00,치과,,14:00 - 20:00,"09:00 - 18:00
13:00 - 14:00 휴게시간"
대연힐정신건강의학과의원,부산 남구 수영로 295 503호,,,14:00 - 18:30,,현충일 휴무,정기휴무 (매주 일요일),,"09:30 - 18:30
12:30 - 14:00 휴게시간",,,0507-1357-9030,,09:30 - 13:00,정신건강의학과,,"09:30 - 18:30
12:30 - 14:00 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간"
못골이비인후과의원,부산 남구 수영로 206 2층,,,09:00 - 18:30,,현충일 휴무,정기휴무 (매주 일요일),,09:00 - 18:30,,,0507-1460-0936,,"09:00 - 13:00
13:00 - 14:00 휴게시간",이비인후과,,09:00 - 18:30,09:00 - 18:30
청담한의원,부산 남구 용호로 54 대영빌딩 4층 청담 한의원,,,"09:00 - 20:00
13:00 - 14:00 휴게시간
12:00, 19:00 접수마감",,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 19:00
13:00 - 14:00 휴게시간
12:00, 18:00 접수마감",,,051-627-7514,,"09:00 - 13:00
12:00 접수마감",한의원,,"09:00 - 19:00
13:00 - 14:00 휴게시간
12:00, 18:00 접수마감","09:00 - 19:00
13:00 - 14:00 휴게시간
12:00, 18:00 접수마감"
마디튼튼프롤러의원,부산 남구 수영로 182-1,,,"09:00 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감",,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감",,,051-638-7582,,"09:00 - 13:00
12:30 접수마감","병원,의원",,"09:00 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감","09:00 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감"
이수근정신건강의학과의원,부산 남구 수영로 203 대연 메디칼센터,,,"09:30 - 18:30
13:00 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:30 - 18:30
13:00 - 14:00 휴게시간",,,051-611-5878,,09:30 - 14:00,정신건강의학과,,14:00 - 18:30,"09:30 - 18:30
13:00 - 14:00 휴게시간"
생기한의원,부산 남구 지게골로 46 2층 생기한의원,,,"09:00 - 19:00
13:00 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 19:00
13:00 - 14:00 휴게시간",,,051-635-6352,,"09:00 - 17:00
13:00 - 14:00 휴게시간",한의원,,"09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간"
샤론의꽃의원,부산 남구 수영로 298 산암빌딩,,,,,,,,,,,051-611-7400,,,성형외과,,,
현창한의원,부산 남구 수영로 21,,,09:30 - 13:00,,현충일09:30 - 13:00,정기휴무 (매주 일요일),,"09:30 - 20:00
13:00 - 14:00 휴게시간",,,051-638-7900,,09:30 - 13:00,한의원,,"09:30 - 20:00
13:00 - 14:00 휴게시간
접기","09:30 - 18:30
13:00 - 14:00 휴게시간"
배성범정형외과의원,부산 남구 우암로 100,,,09:00 - 13:00,,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 19:00
13:00 - 14:00 휴게시간",,,051-637-8275,,09:00 - 13:00,정형외과,,"09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간"
미래치과의원,부산 남구 용호로198번길 2,,,"09:30 - 18:00
13:00 - 14:30 휴게시간
17:00 접수마감",,,정보없음,,"09:30 - 18:00
13:00 - 14:30 휴게시간
17:00 접수마감","09:30 - 18:00
13:00 - 14:30 휴게시간
17:00 접수마감",,051-621-2804,,"09:30 - 12:00
11:00 접수마감",치과,,"09:30 - 18:00
13:00 - 14:30 휴게시간
17:00 접수마감","09:30 - 18:00
13:00 - 14:30 휴게시간
17:00 접수마감"
정학기정형외과의원,부산 남구 수영로 206 정학기정형외과,,,정기휴무 (매주 수요일),,현충일 휴무,정기휴무 (매주 일요일),,"10:00 - 18:00
13:00 - 15:00 휴게시간",,,051-627-5900,,10:00 - 13:00,정형외과,,"10:00 - 18:00
13:00 - 15:00 휴게시간","10:00 - 18:00
13:00 - 15:00 휴게시간"
오동준한의원,부산 남구 못골로 49 2층,,,"09:00 - 19:00
13:00 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 19:00
13:00 - 14:00 휴게시간",,,051-627-7577,,09:00 - 14:00,한의원,,"09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간"
정한호내과의원,부산 남구 수영로 196 우정약국,,,09:00 - 18:00,,현충일 휴무,정기휴무 (매주 일요일),,09:00 - 18:00,,,051-611-7677,,09:00 - 13:00,내과,,09:00 - 18:00,09:00 - 18:00
모든이치과의원,부산 남구 수영로 209 일동 지에닌,,,"09:30 - 18:30
12:30 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:30 - 18:30
12:30 - 14:00 휴게시간",,,051-621-2080,,09:30 - 12:30,치과,,"09:30 - 18:30
12:30 - 14:00 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간"
소생한의원,부산 남구 용호로 127 서현빌딩 1층 소생한의원,,,09:00 - 19:00,,현충일 휴무,정기휴무 (매주 일요일),,09:00 - 19:00,,,0507-1480-1041,,09:00 - 13:00,한의원,,09:00 - 19:00,09:00 - 19:00
로덴치과의원,부산 남구 수영로 241 10층,,,"09:30 - 18:30
13:00 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:30 - 18:30
13:00 - 14:00 휴게시간",,,0507-1381-2875,,09:30 - 13:00,치과,,09:30 - 13:00,"09:30 - 18:30
13:00 - 14:00 휴게시간"
부산미래IFC 검진센터,부산 남구 전포대로 133 국제금융단지 IFC몰 3층~4층,,,07:30 - 16:30,,현충일 휴무,정기휴무 (매주 일요일),,07:30 - 16:30,,,051-710-2000,,07:30 - 12:30,건강검진,,07:30 - 16:30,07:30 - 16:30
성민치과의원,부산 남구 홍곡로 360 401동 2층 206-9,,,"09:30 - 18:00
12:30 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:30 - 18:00
12:30 - 14:00 휴게시간",,,051-627-1809,,09:30 - 13:00,치과,,"09:30 - 18:00
12:30 - 14:00 휴게시간","09:30 - 18:00
12:30 - 14:00 휴게시간"
비타민내과의원,부산 남구 용호로 152 2층,,,"09:30 - 18:00
13:00 - 14:00 휴게시간",,현충일 휴무,정보없음,,"09:30 - 18:00
13:00 - 14:00 휴게시간",,,0507-1305-8273,,09:30 - 13:00,내과,,"09:30 - 18:00
13:00 - 14:00 휴게시간","09:30 - 18:00
13:00 - 14:00 휴게시간"
대연건치과의원,부산 남구 못골로12번길 35 대동레미안센트럴시티 4층 401호~404호 (대연동),,,"09:30 - 18:30
13:00 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:30 - 18:30
13:00 - 14:00 휴게시간",,,0507-1319-2803,,09:30 - 13:30,치과,,"09:30 - 20:30
13:00 - 14:00 휴게시간","09:30 - 18:30
13:00 - 14:00 휴게시간"
이균태내과의원,부산 남구 용호로 147 종합검진센타,,,09:00 - 18:30,,현충일 휴무,정기휴무 (매주 일요일),,09:00 - 18:30,,,051-625-3100,,09:00 - 13:00,내과,,09:00 - 18:30,09:00 - 18:30
아이비치과의원,부산 남구 석포로 128 문화약국 2층,,,09:30 - 18:00,,현충일 휴무,정기휴무 (매주 일요일),,,,,051-506-2875,,09:30 - 13:00,치과,휴무,09:30 - 18:00,09:30 - 12:30
편안한민치과의원,부산 남구 수영로 184 3층,,,"10:30 - 21:00
13:00 - 14:30 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"10:00 - 19:00
13:00 - 14:30 휴게시간",,,0507-1485-2828,,10:00 - 14:00,치과,,"10:00 - 19:00
13:00 - 14:30 휴게시간","10:00 - 19:00
13:00 - 14:30 휴게시간"
영진의원,부산 남구 못골로 71,,,09:00 - 13:00,,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 18:00
13:00 - 14:00 휴게시간",,,051-628-1600,,09:00 - 13:00,"병원,의원",,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간"
정문호내과의원,부산 남구 석포로 67,,,09:00 - 18:00,,현충일09:00 - 13:00,정기휴무 (매주 일요일),,09:00 - 18:00,,,051-642-1847,,09:00 - 13:00,내과,,"09:00 - 18:00
접기",09:00 - 18:00
나원섭치과,부산 남구 수영로 237,,,"10:00 - 18:30
13:00 - 14:20 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"10:00 - 18:30
13:00 - 14:20 휴게시간",,,051-625-8102,,10:00 - 13:00,치과,,"10:00 - 18:30
13:00 - 14:20 휴게시간","10:00 - 18:30
13:00 - 14:20 휴게시간"
자윤수한의원,부산 남구 오륙도로 85 오륙도에스케이뷰아파트,,,"10:00 - 18:00
13:00 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"10:00 - 18:00
13:00 - 14:00 휴게시간",,,051-626-3834,,10:00 - 13:00,한의원,,정기휴무 (매주 목요일),"10:00 - 18:00
13:00 - 14:00 휴게시간"
부산미래IFC치과의원,부산 남구 전포대로 133 IFC 4층 402호,,,,,,,,,,,051-717-7045,,,치과,,,
명가한의원,부산 남구 수영로 220,,,"09:00 - 18:00
12:00 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 18:00
12:00 - 14:00 휴게시간",,,051-327-1075,,09:00 - 13:00,한의원,,"09:00 - 18:00
12:00 - 14:00 휴게시간","09:00 - 18:00
12:00 - 14:00 휴게시간"
효메디요양병원,부산 남구 용호로 95 휴메디,,,,,,,"00:00 - 24:00
접기",,,,051-624-6600,,,요양병원,,,
한빛내과의원,부산 남구 전포대로 69 동주빌딩,,,09:00 - 18:00,,현충일 휴무,정기휴무 (매주 일요일),,09:00 - 18:00,,,051-645-6566,,09:00 - 13:00,내과,,09:00 - 18:00,09:00 - 18:00
디엘치과의원,부산 남구 유엔로 14 우암 센텀 메디컬,,,"09:30 - 19:00
12:30 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:30 - 19:00
12:30 - 14:00 휴게시간",,,051-636-7528,,09:30 - 15:00,치과,,"09:30 - 21:00
12:30 - 14:00 휴게시간","09:30 - 19:00
12:30 - 14:00 휴게시간"
김종성한의원,부산 남구 못골로 74,,,"09:00 - 19:00
13:00 - 14:00 휴게시간",,현충일09:00 - 14:00,정기휴무 (매주 일요일),,"09:00 - 19:00
13:00 - 14:00 휴게시간",,,051-625-8275,,09:00 - 14:00,한의원,,"정기휴무 (매주 목요일)
접기","09:00 - 19:00
13:00 - 14:00 휴게시간"
조은의원,부산 남구 장고개로 108 세영맨션,,,09:00 - 17:30,,현충일 휴무,정기휴무 (매주 일요일),,09:00 - 17:30,,,051-647-7630,,09:00 - 12:30,"병원,의원",,09:00 - 17:30,09:00 - 17:30
임해누리의료소비자생활협동조합오륙도요양병원,부산 남구 용호로 132 부산은행용호동지점,,,,,,,,,,,051-647-7007,,,요양병원,,,
참사랑한의원,부산 남구 석포로 48 참사랑한의원,,,"08:30 - 18:00
13:00 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"08:30 - 18:00
13:00 - 14:00 휴게시간",,,051-647-4009,,08:30 - 14:00,한의원,,"08:30 - 18:00
13:00 - 14:00 휴게시간","08:30 - 18:00
13:00 - 14:00 휴게시간"
허균한의원,부산 남구 수영로 283 103동 1층 104호,,,"09:30 - 19:00
13:00 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:30 - 19:00
13:00 - 14:00 휴게시간",,,010-8587-8275,,09:30 - 13:00,한의원,,"09:30 - 19:00
13:00 - 14:00 휴게시간","09:30 - 19:00
13:00 - 14:00 휴게시간"
치항외과의원,부산 남구 용호로 135 성호빌딩,,,"09:00 - 18:00
13:00 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 18:00
13:00 - 14:00 휴게시간",,,051-628-7508,,09:00 - 13:00,외과,,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간"
서달덕내과의원,부산 남구 진남로 206,,,,,,,,,,,051-645-7555,,,내과,,,
동민한의원,부산 남구 수영로 340,,,"09:30 - 18:30
13:00 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:30 - 18:30
13:00 - 14:00 휴게시간",,,051-611-0377,,09:30 - 13:00,한의원,,"09:30 - 18:30
13:00 - 14:00 휴게시간","09:30 - 18:30
13:00 - 14:00 휴게시간"
평일한의원,부산 남구 못골로 51 2층,,,"09:00 - 18:00
13:00 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 18:00
13:00 - 14:00 휴게시간",,,0507-1343-7802,,09:00 - 13:00,한의원,,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간"
정해철내과의원,부산 남구 수영로 17,,,09:00 - 18:30,,현충일 휴무,정기휴무 (매주 일요일),,09:00 - 18:30,,,051-645-8300,,09:00 - 13:00,내과,,09:00 - 18:30,09:00 - 18:30
성남한의원,부산 남구 홍곡로 12 허문회치과,,,09:00 - 19:00,,현충일 휴무,정기휴무 (매주 일요일),,09:00 - 19:00,,,051-647-7582,,09:00 - 15:00,한의원,,09:00 - 19:00,09:00 - 19:00
제니스파크요양병원,부산 남구 우암양달로75번길 29 한일교육센터,,,09:00 - 17:00,,현충일 휴무,정기휴무 (매주 일요일),,09:00 - 17:00,,,051-644-7733,,09:00 - 12:00,요양병원,,09:00 - 17:00,09:00 - 17:00
김갑진신경과의원,부산 남구 수영로 27,,,"09:00 - 17:30
13:00 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 17:30
13:00 - 14:00 휴게시간",,,051-636-9080,,09:00 - 12:30,신경과,,"09:00 - 17:30
13:00 - 14:00 휴게시간","09:00 - 17:30
13:00 - 14:00 휴게시간"
자연닮은한의원,부산 남구 고동골로 29 국제금융시티 문현베스티움 아파트,,,"09:30 - 18:30
12:30 - 14:00 휴게시간",,현충일09:30 - 12:30,정기휴무 (매주 일요일),,"09:30 - 18:30
12:30 - 14:00 휴게시간",,,051-627-1261,,09:30 - 12:30,한의원,,"09:30 - 18:30
12:30 - 14:00 휴게시간
접기","09:30 - 18:30
12:30 - 14:00 휴게시간"
호랑한의원,부산 남구 수영로 243-1 1층,,,정기휴무 (매주 수요일),,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 18:00
13:00 - 14:00 휴게시간
12:30, 17:30 접수마감",,,051-710-8582,,"09:00 - 17:00
13:00 - 14:00 휴게시간
12:30, 16:30 접수마감",한의원,,"09:00 - 18:00
13:00 - 14:00 휴게시간
12:30, 17:30 접수마감","09:00 - 18:00
13:00 - 14:00 휴게시간
12:30, 17:30 접수마감"
대연척척한의원,부산 남구 석포로 74,,,"09:30 - 18:30
13:00 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:30 - 18:30
13:00 - 14:00 휴게시간",,,0507-1453-5566,,09:30 - 14:00,한의원,,"09:30 - 18:30
13:00 - 14:00 휴게시간","09:30 - 18:30
13:00 - 14:00 휴게시간"
생생한의원,부산 남구 수영로 183 생생한의원,,,"09:30 - 18:30
13:00 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:30 - 18:30
13:00 - 14:00 휴게시간",,,051-638-1240,,09:30 - 13:00,한의원,,14:00 - 18:30,"09:30 - 18:30
13:00 - 14:00 휴게시간"
수의원,부산 남구 석포로 34 국제아파트,,,09:00 - 18:00,,현충일 휴무,정보없음,,09:00 - 18:00,,,051-633-7181,,09:00 - 13:00,가정의학과,,09:00 - 18:00,09:00 - 18:00
밝은미소치과의원,부산 남구 분포로 113 LG메트로시티 주2상가 5층,,,14:00 - 18:30,,현충일 휴무,정기휴무 (매주 일요일),,"09:50 - 18:30
13:00 - 14:00 휴게시간",,,051-628-9797,,09:50 - 13:30,치과,,"09:50 - 18:30
13:00 - 14:00 휴게시간","09:50 - 18:30
13:00 - 14:00 휴게시간"
천걸음한의원,부산 남구 수영로 240-1 이지스퀘어빌딩 6층,,,10:00 - 20:00,,현충일10:00 - 15:00,정기휴무 (매주 일요일),,10:00 - 20:00,,,051-756-3888,,10:00 - 15:00,한의원,,"정기휴무 (매주 목요일)
접기",10:00 - 20:00
박철흠치과의원,부산 남구 용호로 95 휴메디빌딩 3층,,,정기휴무 (매주 수요일),,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 18:00
13:00 - 14:30 휴게시간",,,051-628-7616,,09:00 - 13:00,치과,,"09:00 - 18:00
13:00 - 14:30 휴게시간","09:00 - 18:00
13:00 - 14:30 휴게시간"
센텀연합의원,부산 남구 수영로 33 2층,,,"09:00 - 18:00
13:00 - 14:00 휴게시간",,현충일09:00 - 13:00,정기휴무 (매주 일요일),,"09:00 - 18:00
13:00 - 14:00 휴게시간",,,051-644-7582,,09:00 - 13:00,"병원,의원",,"09:00 - 18:00
13:00 - 14:00 휴게시간
접기","09:00 - 18:00
13:00 - 14:00 휴게시간"
은행나무한의원,부산 남구 수영로 200 롯데리아,,,09:30 - 18:30,,현충일 휴무,정기휴무 (매주 일요일),,09:30 - 18:30,,,051-611-7760,,09:30 - 14:00,한의원,,09:30 - 18:30,09:30 - 18:30
자연미치과의원,부산 남구 수영로 198 2층,,,09:30 - 12:30,,현충일 휴무,정기휴무 (매주 일요일),,"09:30 - 18:30
13:00 - 14:30 휴게시간",,,0507-1346-7529,,09:30 - 12:30,치과,,"09:30 - 18:30
13:00 - 14:30 휴게시간","09:30 - 18:30
13:00 - 14:30 휴게시간"
성심외과의원,부산 남구 우암로 57-1 성심외과의원,,,"09:00 - 18:00
12:30 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 18:00
12:30 - 14:00 휴게시간",,,051-647-0075,,09:00 - 12:00,외과,,"09:00 - 18:00
12:30 - 14:00 휴게시간","09:00 - 18:00
12:30 - 14:00 휴게시간"
대추나무한의원,부산 남구 용호로 204,,,"09:30 - 18:00
12:30 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:30 - 18:00
12:30 - 14:00 휴게시간",,,051-624-1075,,09:30 - 13:30,한의원,,"09:30 - 20:00
12:30 - 14:00 휴게시간","09:30 - 18:00
12:30 - 14:00 휴게시간"
